name,k,inst,ILSc,ILSt,RTt,BNCc,Nds,BNCt,SEPt,Pgn,zAct,fAct
CMT1,0,1,2209.64,0.36,147.11,2209.64,1679,7200.85,22.59,96316,22104,16961
CMT2,0,2,2310.09,0.83,280.88,2310.09,1218,2789.39,37.9,86537,9278,7365
CMT3,0,3,4010.3,1.16,3735.9,4010.3,1,7201.31,7.55,91847,10317,6488
CMT6,0,6,1921.5,0.41,81.43,1921.5,5022,7201.13,67.91,191631,35702,35051
CMT7,0,7,2202.3,0.92,192.01,2202.3,919,1829.83,24.82,54427,5578,4673
CMT8,0,8,3689.31,1.18,3633.65,3689.31,1,7201.53,0.78,80662,8311,5403
CMT11,0,11,7199.48,1.58,4024.91,7199.48,1,7201.88,2.57,83409,6032,4711
CMT12,0,12,3532.72,1.14,4673.22,3532.72,1,7201.22,0.3,124137,11600,7774
CMT13,0,13,6520.57,2.37,3714.59,6520.57,1,7257.8,1.49,88032,5387,4973
CMT14,0,14,3422.56,1.24,3185.88,3422.56,19,7201.32,5.85,117397,10636,6954
AVG,,,3701.8469999999993,1.119,2366.958,3701.8469999999993,,6228.626,17.176,,,
