name,k,inst,ILSc,ILSt,RTt,BNCc,Nds,BNCt,SEPt,Pgn,zAct,fAct
E-n22-k4,4,22,819.39,0.15,0.5,819.39,1,4.32,0.02,565,248,161
E-n23-k3,3,23,1555.87,0.16,1.07,1555.87,0,1.37,0.0,860,431,366
E-n30-k3,3,30,1871.08,0.16,7.68,1871.08,3744,1100.84,2.53,12167,3583,2068
E-n30-k4,4,30,1643.3,0.22,4.37,1643.3,3046,301.07,1.55,3186,1979,2142
E-n33-k4,4,33,2819.43,0.26,7.49,2819.43,1399,414.74,1.79,11355,4326,4866
E-n51-k5,5,51,2209.64,0.36,149.02,2209.64,1697,7200.47,22.61,96664,22149,17018
E-n76-k7,7,76,2945.25,0.68,1554.35,2945.25,46,7201.06,4.88,58911,6996,4749
E-n76-k8,8,76,2677.39,0.71,1297.6,2677.39,275,7201.75,18.02,71888,7373,5583
E-n76-k10,10,76,2310.09,0.83,285.57,2310.09,1218,2797.17,37.36,86537,9278,7365
E-n76-k14,14,76,2005.4,1.17,108.52,2005.4,1,271.04,0.78,12781,888,1077
E-n76-k15,15,76,1962.47,1.28,94.93,1962.47,1,109.3,0.5,11259,551,801
E-n101-k14,14,101,2922.82,1.78,1510.68,2922.82,73,7202.94,15.94,66453,5014,4233
AVG,,,2145.1775000000002,0.6466666666666667,418.4816666666666,2145.1775000000002,,2817.1725,8.831666666666667,,,
