,,BNCt,BNCt,BNCt,BNCt
,,max,min,mean,count
k,name,,,,
30,brd14051,52.33,1.13,9.411999999999999,10
30,d15112,17.06,0.93,3.6699999999999995,10
30,d18512,4.19,0.79,2.6439999999999997,10
30,fnl4461,17.4,1.1,3.647,10
30,nrw1379,43.78,1.21,9.896,10
30,pr1002,21.18,0.96,4.757000000000001,10
40,brd14051,216.0,3.09,43.49399999999999,10
40,d15112,7.17,3.27,4.878,10
40,d18512,19.43,3.25,8.207,10
40,fnl4461,101.28,5.09,21.916000000000004,10
40,nrw1379,47.17,2.13,12.541999999999998,10
40,pr1002,169.24,3.41,41.261,10
50,brd14051,423.74,9.92,73.292,10
50,d15112,171.82,6.47,33.369,10
50,d18512,144.67,11.49,49.127,10
50,fnl4461,62.11,6.57,20.139999999999997,10
50,nrw1379,1064.14,8.32,189.44100000000003,10
50,pr1002,108.96,7.76,36.732,10
