name,k,inst,ILSc,ILSt,RTt,BNCc,Nds,BNCt,SEPt,Pgn,zAct,fAct
P\P-n16-k8,8,16,382.9,0.09,0.02,382.9,0,0.36,0.0,0,0,0
P\P-n19-k2,2,19,812.15,0.09,0.72,812.15,0,1.27,0.0,573,436,304
P\P-n20-k2,2,20,905.19,0.09,0.73,905.19,1,2.07,0.01,524,441,286
P\P-n21-k2,2,21,937.1,0.11,0.94,937.1,1,6.36,0.02,654,453,294
P\P-n22-k2,2,22,993.1,0.13,1.12,993.1,0,1.87,0.0,721,489,359
P\P-n22-k8,8,22,623.4,0.18,0.11,623.4,0,0.29,0.0,92,3,16
P\P-n23-k8,8,23,561.33,0.18,0.11,561.33,0,0.29,0.0,71,0,6
P\P-n40-k5,5,40,1537.79,0.27,14.08,1537.79,797,196.62,2.33,21353,5413,4196
P\P-n45-k5,5,45,1912.31,0.31,36.08,1912.31,3505,3179.19,24.29,109783,23235,22469
P\P-n50-k7,7,50,1547.89,0.43,26.98,1547.89,288,211.15,2.0,14150,2638,2111
P\P-n50-k8,8,50,1448.92,0.49,20.72,1448.92,2164,958.75,13.79,39095,8455,6645
P\P-n50-k10,10,50,1296.48,0.57,8.54,1296.48,1,13.57,0.12,4001,344,342
P\P-n51-k10,10,51,1419.43,0.57,16.02,1419.43,75,82.91,0.38,4727,865,671
P\P-n55-k7,7,55,1766.56,0.49,92.79,1766.56,3386,3033.76,58.26,152913,32639,22085
P\P-n55-k8,8,55,1614.61,0.48,35.13,1614.61,1,136.19,0.75,10303,1515,1050
P\P-n55-k10,10,55,1438.6,0.67,14.58,1438.6,0,15.53,0.0,5511,489,467
P\P-n55-k15,15,55,1280.92,0.81,3.34,1280.92,0,4.23,0.0,2328,56,122
P\P-n60-k10,10,60,1676.35,0.72,43.1,1676.35,1245,674.62,15.56,45049,6895,5157
P\P-n60-k15,15,60,1462.5,0.86,6.96,1462.5,1,13.14,0.2,3914,152,244
P\P-n65-k10,10,65,1928.46,0.76,113.27,1928.46,4239,6762.68,87.87,165361,23339,19322
P\P-n70-k10,10,70,2097.17,0.82,198.34,2097.17,2421,5877.93,69.68,125634,14739,11890
P\P-n76-k4,4,76,4673.05,0.5,4047.06,4673.05,6,7216.79,1.62,107128,15204,12868
P\P-n76-k5,5,76,3820.02,0.54,2917.1,3820.02,19,7200.66,3.11,79287,11903,8530
AVG,,,1571.1404347826083,0.44173913043478263,330.3408695652174,1571.1404347826083,,1547.401304347826,12.173478260869565,,,
