name,k,inst,ILSc,ILSt,RTt,BNCc,Nds,BNCt,SEPt,Pgn,zAct,fAct
brd14051,30,0,128612.04,0.27,1.31,128612.04,1,2.16,0.01,1101,328,270
brd14051,30,1,120280.0,0.29,2.74,120280.0,0,3.18,0.0,1383,466,324
brd14051,30,2,78393.79,0.3,1.39,78393.79,0,1.85,0.0,1168,291,268
brd14051,30,3,121488.91,0.27,2.69,121488.91,167,79.29,0.27,1321,728,781
brd14051,30,4,114049.07,0.25,1.97,114049.07,226,41.26,0.22,1399,545,379
brd14051,30,5,95266.56,0.25,1.62,95266.56,0,1.88,0.0,1382,479,299
brd14051,30,6,115871.46,0.31,0.65,115871.46,0,0.97,0.0,664,71,83
brd14051,30,7,107957.84,0.32,1.14,107957.84,0,1.47,0.0,1126,362,226
brd14051,30,8,98466.75,0.29,1.4,98466.75,0,1.7,0.0,1258,363,303
brd14051,30,9,103766.91,0.35,1.56,103766.91,1,3.6,0.02,1111,352,260
d15112,30,0,295083.88,0.28,0.67,295083.88,0,0.96,0.0,1078,115,115
d15112,30,1,296251.85,0.3,1.42,296251.85,77,8.64,0.09,1423,336,320
d15112,30,2,260879.88,0.27,0.95,260879.88,0,1.23,0.0,1166,282,205
d15112,30,3,266857.52,0.32,2.06,266857.52,0,2.4,0.0,1172,576,331
d15112,30,4,266666.97,0.27,2.28,266666.97,314,55.43,0.31,1541,624,463
d15112,30,5,300429.23,0.26,2.18,300429.23,93,19.09,0.12,1519,786,569
d15112,30,6,261057.51,0.27,2.02,261057.51,0,2.37,0.0,1155,261,328
d15112,30,7,326628.49,0.29,1.9,326628.49,58,10.1,0.07,1232,318,337
d15112,30,8,296657.43,0.26,1.5,296657.43,1,3.73,0.03,1224,321,273
d15112,30,9,270633.65,0.26,2.05,270633.65,1,2.66,0.01,1574,573,404
d18512,30,0,103399.26,0.26,1.44,103399.26,0,2.06,0.0,1068,345,253
d18512,30,1,104745.04,0.29,1.7,104745.04,1,24.41,0.12,1505,481,449
d18512,30,2,93801.67,0.28,2.14,93801.67,1,5.69,0.03,1200,511,382
d18512,30,3,117621.86,0.27,1.3,117621.86,0,1.7,0.0,1276,395,264
d18512,30,4,121244.38,0.26,1.61,121244.38,0,2.09,0.0,1289,509,336
d18512,30,5,113096.23,0.23,1.45,113096.23,1,8.88,0.05,1293,420,346
d18512,30,6,103728.24,0.28,0.99,103728.24,1,3.8,0.04,1062,224,184
d18512,30,7,114457.32,0.25,0.7,114457.32,0,0.97,0.0,968,175,151
d18512,30,8,103017.56,0.25,0.93,103017.56,0,1.19,0.0,1095,266,168
d18512,30,9,94848.86,0.27,2.99,94848.86,1,10.48,0.04,1477,701,491
fnl4461,30,0,71654.84,0.26,0.97,71654.84,19,4.67,0.05,993,156,162
fnl4461,30,1,52107.51,0.28,1.13,52107.51,1,4.22,0.03,1199,333,241
fnl4461,30,2,62642.8,0.28,1.74,62642.8,0,2.04,0.0,1209,361,303
fnl4461,30,3,57795.11,0.29,2.21,57795.11,76,22.43,0.12,1430,698,446
fnl4461,30,4,70257.03,0.26,1.59,70257.03,1,3.42,0.01,1220,501,286
fnl4461,30,5,67727.86,0.28,1.1,67727.86,0,1.52,0.0,896,267,227
fnl4461,30,6,55012.49,0.29,1.08,55012.49,0,1.39,0.0,1037,264,221
fnl4461,30,7,52834.53,0.25,1.09,52834.53,0,1.35,0.0,947,194,167
fnl4461,30,8,64543.54,0.27,0.89,64543.54,0,1.17,0.0,868,113,100
fnl4461,30,9,57335.0,0.26,2.53,57335.0,1,3.11,0.01,1261,514,338
nrw1379,30,0,42337.98,0.27,2.57,42337.98,199,52.87,0.26,1753,755,629
nrw1379,30,1,40535.7,0.28,1.62,40535.7,153,54.06,0.25,1409,478,412
nrw1379,30,2,37020.74,0.33,1.12,37020.74,1,1.8,0.01,939,257,196
nrw1379,30,3,39266.16,0.32,2.3,39266.16,245,36.04,0.24,1295,490,440
nrw1379,30,4,33637.61,0.27,1.25,33637.61,0,1.57,0.0,1129,303,268
nrw1379,30,5,38392.24,0.24,2.01,38392.24,613,38.37,0.4,2109,657,505
nrw1379,30,6,41612.84,0.26,1.52,41612.84,1,10.59,0.06,1231,373,291
nrw1379,30,7,38858.26,0.27,1.6,38858.26,0,2.06,0.0,1265,490,308
nrw1379,30,8,37139.4,0.29,1.21,37139.4,1,8.68,0.06,973,241,181
nrw1379,30,9,28108.64,0.27,1.58,28108.64,29,6.53,0.07,1297,368,334
pr1002,30,0,218918.03,0.25,1.43,218918.03,1,3.24,0.01,1167,370,209
pr1002,30,1,213646.84,0.26,1.47,213646.84,234,25.03,0.19,1438,464,306
pr1002,30,2,240623.86,0.23,2.26,240623.86,1,19.15,0.08,1578,718,488
pr1002,30,3,187958.87,0.25,1.63,187958.87,0,2.06,0.0,1397,444,338
pr1002,30,4,212928.63,0.29,1.38,212928.63,1,2.2,0.01,1120,360,313
pr1002,30,5,197522.82,0.26,1.44,197522.82,1,2.47,0.01,1165,424,341
pr1002,30,6,203862.69,0.27,1.04,203862.69,0,1.32,0.0,1130,272,208
pr1002,30,7,197941.13,0.25,2.14,197941.13,100,21.83,0.13,1341,749,574
pr1002,30,8,196831.7,0.29,1.0,196831.7,0,1.3,0.0,1052,231,179
pr1002,30,9,172028.05,0.27,0.67,172028.05,0,0.95,0.0,820,111,118
AVG,,,133772.3843333334,0.27433333333333315,1.5720000000000003,133772.3843333334,,10.711333333333334,0.05716666666666666,,,
