k,name,ILSc,ILSt,RTt,BNCc,Nds,BNCt,SEPt,Pgn,zAct,fAct
30.0,brd14051,108415.33300000001,0.27799999999999997,1.565,108415.33300000001,44.0,13.027000000000001,0.052000000000000005,1195.6,402.3,320.3
30.0,d15112,284114.641,0.266,1.625,284114.641,58.7,10.456999999999999,0.06400000000000002,1312.1,417.2,331.9
30.0,d18512,106996.04200000002,0.26400000000000007,1.496,106996.04200000002,0.5,6.018,0.028000000000000004,1223.1,402.5,302.0
30.0,fnl4461,61191.07100000001,0.266,1.4040000000000001,61191.07100000001,9.8,4.418000000000001,0.021,1106.0,340.1,249.1
30.0,nrw1379,37690.95700000001,0.2720000000000001,1.6280000000000001,37690.95700000001,124.2,20.395,0.12600000000000003,1340.0,441.2,356.4
30.0,pr1002,204226.26200000002,0.262,1.4819999999999998,204226.26200000002,33.8,7.995,0.043000000000000003,1220.8,414.3,307.4
40.0,brd14051,126306.83899999999,0.442,5.404999999999999,126306.83799999999,367.1,120.34399999999998,0.7669999999999998,3165.9,893.6,737.5
40.0,d15112,358816.20600000006,0.449,3.9530000000000003,358816.20600000006,0.6,6.419,0.025,2437.1,542.0,399.2
40.0,d18512,138725.90199999997,0.413,4.751,138725.90199999997,75.4,24.305,0.17700000000000002,2880.8,670.5,518.6
40.0,fnl4461,76687.519,0.46299999999999997,4.4959999999999996,76687.519,42.5,21.207,0.16099999999999998,2606.7,592.4,438.3
40.0,nrw1379,44836.651000000005,0.4640000000000001,3.8830000000000005,44836.651000000005,109.0,23.396,0.20700000000000002,2520.7,497.8,419.2
40.0,pr1002,266619.694,0.43599999999999994,4.725999999999999,266619.694,39.4,25.736,0.15600000000000003,2842.6,704.6,492.4
50.0,brd14051,159048.43699999998,0.675,9.411999999999997,159048.43699999998,42.3,30.034999999999997,0.292,4631.2,714.8,594.6
50.0,d15112,446461.43200000003,0.7020000000000001,11.880999999999998,446461.43200000003,173.4,86.201,1.087,6305.2,1049.0,755.0
50.0,d18512,167873.363,0.6719999999999999,15.218,167873.363,194.5,63.234,0.775,5455.3,1042.7,719.7
50.0,fnl4461,97877.681,0.6890000000000001,9.712,97877.681,21.6,27.721999999999998,0.196,4366.2,717.3,546.8
50.0,nrw1379,57229.842000000004,0.655,10.870000000000001,57229.842000000004,451.8,114.69099999999999,1.7709999999999997,6224.6,1168.2,858.8
50.0,pr1002,331764.46400000004,0.6980000000000001,11.420000000000002,331764.46200000006,41.0,60.173000000000016,0.372,5034.2,853.5,608.6
